FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
사립,4,전북특별자치도 전주시 덕진구,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,95289203,26701237,0,189028300,5323300,S130000431,8066596000,P100000001,14,일반고등학교,N,전주중앙여자고등학교,,,
사립,4,전북특별자치도 전주시 완산구,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,69558632,58204442,0,433009360,3300000,S130000432,8453569800,P100000001,14,일반고등학교,N,전주한일고등학교,,고,4.0
사립,4,전북특별자치도 전주시 완산구,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,68496910,30334100,0,464451820,56707400,S130000433,7758679480,P100000001,14,일반고등학교,N,전주해성고등학교,,고,4.0
사립,4,전북특별자치도 정읍시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,54275757,12822449,0,285847433,7922991,S130000438,5673280940,P100000001,14,일반고등학교,N,정주고등학교,,고,4.0
사립,4,전북특별자치도 익산시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,46737055,9766504,0,132751680,1945989,S130000443,5138514270,P100000001,14,특성화고등학교,N,진경여자고등학교,,고,4.0
사립,4,전북특별자치도 정읍시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,319909050,5516630,0,80745990,16074050,S130000450,2479559100,P100000001,14,일반고등학교,N,태인고등학교,,고,4.0
사립,4,전북특별자치도 무주군,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,12982357,4210239,0,189598710,16898960,S130000452,2748453030,P100000001,14,특성화고등학교,N,푸른꿈고등학교,,,
사립,4,전북특별자치도 정읍시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,59868400,21384066,0,111613770,30390000,S130000454,7618894790,P100000001,14,특성화고등학교,N,글로벌학산고등학교,,고,4.0
사립,4,전북특별자치도 익산시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,46672672,8609020,0,219682640,35845900,S130000461,6133563590,P100000001,14,일반고등학교,N,함열여자고등학교,,고,4.0
사립,4,전북특별자치도 정읍시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,258394129,3725704,0,279982950,18970900,S130000464,8054892770,P100000001,14,일반고등학교,N,호남고등학교,,,
사립,4,전북특별자치도 전주시 완산구,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,65678815,35330690,0,781094170,26200429,S130000465,9103415070,P100000001,14,일반고등학교,N,호남제일고등학교,,,
사립,4,전북특별자치도 장수군,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,90998685,3400465,0,113638070,18662055,S130002456,1753840780,P100000001,14,일반고등학교,N,한국마사고등학교,,,
사립,4,전북특별자치도 완주군,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,72407447,581583,0,1021333052,29600000,S130002471,2739240940,P100000001,14,특성화고등학교,N,한국게임과학고등학교,,고,4.0
사립,4,전북특별자치도 김제시,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,18766563,1000320,0,249143030,11004350,S130002634,1919680120,P100000001,14,특성화고등학교,N,지평선고등학교,,,
사립,4,전북특별자치도 진안군,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,548907,3318543,0,286489170,11549000,S130002635,2697928200,P100000001,14,특성화고등학교,N,한국한방고등학교,,,
